UserId_Url,UserId,Tweet_Url,Date-Time,Tweets,Comments,Retweets,Likes,Impressions
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1719581060764463438,Nov 1,Solve if you can :),146,7,34,101K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1719423906396660044,Nov 1,Enter your answer,86,7,47,52K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1719387243402469606,Oct 31,How many locks are open ?,27,2,9,18K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1719252602309984736,Oct 31,How many extra clocks are there ?,12,2,,11K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1719231234881278266,Oct 31,Can you solve this ?,5,5,,11K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1719202879540736069,Oct 31,Choose the option,2,2,,7.5K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1719178762909290783,Oct 31,What’s the missing number?,108,11,46,70K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1719044849670791365,Oct 30,What’s the missing number ?,30,1,11,17K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718926249525924135,Oct 30,What’s the answer ?,145,19,90,131K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718882664147566767,Oct 30,Solve it and share..,46,8,18,23K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718807598625951884,Oct 30,Solve this puzzle,25,7,15,18K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718687856116301957,Oct 29,What letter is A connected to ?,64,5,39,56K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718672851891540048,Oct 29,Can you solve this ?,39,6,23,21K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718595020851405198,Oct 29,,2,3,47,10K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718537050100801763,Oct 29,What’s your favourite ?,8,1,5,7.6K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718442882774999376,Oct 29,Can you find odd one ?,14,1,8,11K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718335831826747491,Oct 29,Solve this one,46,5,24,45K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718306801953988962,Oct 28,Find the  answer,30,4,24,38K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718229118204948782,Oct 28,Solve this puzzle,66,2,28,45K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718189395508154594,Oct 28,What’s the answer ?,19,3,12,15K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718189395508154594,Oct 28,What’s the answer ?,19,3,12,15K
