userId_url,profile_photo,css-4rbku5 href 2,name,UserId,Tweets,Tweet_Url,date-time,css-rs45kua89,attached_media,Comments,Retweets,Likes,css-4rbku5 href 6,comments,css-9pa8cd src 3,css-4rbku5 href 7,css-4rbku5 href 9,r-1p0dtai src,retweets,likes,impressions,r-4qtqp9 src 2
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,Were they good butlers?,https://twitter.com/Sidemen/status/1712086056646893763,Oct 11,,https://pbs.twimg.com/media/F8KMS8CXYAAtsru?format=jpg&name=small,82,110,11K,https://twitter.com/Sidemen/status/1712086056646893763/analytics,567K,,https://twitter.com/Sidemen/status/1712086056646893763/media_tags,,,,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,Who did it best?,https://twitter.com/Sidemen/status/1710293833232113943,Oct 6,,https://pbs.twimg.com/media/F7v6lknWYAA1UcR?format=jpg&name=small,1.5K,551,32K,https://twitter.com/Sidemen/status/1710293833232113943/analytics,2.1M,,,,,,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,Bro called Simon minister,https://twitter.com/Sidemen/status/1709943727366832565,Oct 5,,https://pbs.twimg.com/ext_tw_video_thumb/1709942959792340992/pu/img/TXbshKuxU72s9B-6.jpg,69,325,17K,https://twitter.com/Sidemen/status/1709943727366832565/analytics,899K,,,,blob:https://twitter.com/c42d1a15-5339-4b3d-9155-52128a7cf52e,,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,Which date was your favourite?,https://twitter.com/Sidemen/status/1709571172008898853,Oct 4,,https://pbs.twimg.com/media/F7md6wzXgAAYXzI?format=jpg&name=small,162,156,14K,https://twitter.com/Sidemen/status/1709571172008898853/analytics,1.3M,,,,,,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,He’s him,https://twitter.com/Sidemen/status/1709161876200849838,Oct 3,,https://pbs.twimg.com/media/F7gpqm0XcAAKI9p?format=jpg&name=small,247,1.3K,47K,https://twitter.com/Sidemen/status/1709161876200849838/analytics,1.5M,,,,,,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,ksi,https://twitter.com/Sidemen/status/1708896719478444297,Oct 2,,https://pbs.twimg.com/media/F7c4giCWcAARkBn?format=jpg&name=small,64,570,34K,https://twitter.com/Sidemen/status/1708896719478444297/analytics,1M,,,,,,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,@Sidemen,·,Some people are destined for 20vs1 and 5 others Ethan Payne,https://twitter.com/Sidemen/status/1708875592634966322,Oct 2,238,https://pbs.twimg.com/media/F7clSwzXUAAf_bj?format=jpg&name=small,1K,23K,1.3M,https://twitter.com/Sidemen/status/1708875592634966322/media_tags,,,,https://twitter.com/Sidemen/status/1708875592634966322/analytics,,,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,20 WOMEN VS 1 SIDEMEN: SPEED EDITION,https://twitter.com/Sidemen/status/1708876054046142779,Oct 2,,https://pbs.twimg.com/card_img/1721556869758455808/W7clHj_F?format=jpg&name=360x360,18,35,889,https://twitter.com/Sidemen/status/1708876054046142779/analytics,201K,,,,,,: Order food NOW at: https://www.eatsides.com/,: XIX Vodka: https://ww...,https://abs-0.twimg.com/emoji/v2/svg/1f3a5.svg
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,"Thank you for your patience 
We'll see you at 5 pm 
Trust us, it was worth the wait",https://twitter.com/Sidemen/status/1708813542126682538,Oct 2,,https://pbs.twimg.com/media/F7bsEmYXsAAKFKZ?format=jpg&name=small,523,1.7K,58K,https://twitter.com/Sidemen/status/1708813542126682538/analytics,8M,,,,,,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,@Sidemen,·,Who got the best box?,https://twitter.com/Sidemen/status/1706280322055262568,Sep 25,76,https://pbs.twimg.com/media/F63s5-cWEAAPGKD?format=jpg&name=360x360,70,5.7K,612K,https://twitter.com/Sidemen/status/1706280322055262568/photo/2,and 3 others,https://pbs.twimg.com/media/F63s5-dWoAArXlZ?format=jpg&name=360x360,https://twitter.com/Sidemen/status/1706280322055262568/photo/3,https://twitter.com/Sidemen/status/1706280322055262568/analytics,,,,,
