UserId,Tweet_Url,Date-Time,LIkes,Comments,Retweets,,Tweets
@wylieesofia,https://twitter.com/wylieesofia/status/1724872976493941146,Nov-16,6,,,212,what a beautiful man
@wylieesofia,https://twitter.com/wylieesofia/status/1724872646397935738,Nov-16,3,,,147,my favorite siblings
@wylieesofia,https://twitter.com/wylieesofia/status/1724872420404707649,Nov-16,13,111,,1.1K,they were so tiny back then i can’t do this i’m gonna cry
@wylieesofia,https://twitter.com/wylieesofia/status/1724871953062752552,Nov-16,6,128,,1.1K,the most unserious people on earth
@wylieesofia,https://twitter.com/wylieesofia/status/1724871502879670740,Nov-16,1,7,,422,i’m gonna cry i’m so proud of him
@wylieesofia,https://twitter.com/wylieesofia/status/1724870528886849882,Nov-16,1,4,102,1K,me when i saw sofia’s photo dump
@wylieesofia,https://twitter.com/wylieesofia/status/1724870528886849882,Nov-16,1,4,102,1K,me when i saw sofia’s photo dump
@wylieesofia,https://twitter.com/wylieesofia/status/1724869072125387051,Nov-16,8,117,,1.1K,so proud of him
@wylieesofia,https://twitter.com/wylieesofia/status/1724868901354311802,Nov-16,7,91,,884,JOSH AND ADRIAN MY BOYSS
@wylieesofia,https://twitter.com/wylieesofia/status/1724868086040232230,Nov-16,20,,,342,if i don’t get them to work on another project together i will do something drastic
@wylieesofia,https://twitter.com/wylieesofia/status/1724867548036907201,Nov-16,10,,,203,"i can’t say goodbye to them, they’re my family"
@wylieesofia,https://twitter.com/wylieesofia/status/1724868901354311802,Nov-16,7,91,,884,JOSH AND ADRIAN MY BOYSS
@wylieesofia,https://twitter.com/wylieesofia/status/1724863598080491868,Nov-16,1,,,148,"another reminder, if y’all wanna see me complain about my life and spam other weird shit, go follow my private account"
@wylieesofia,https://twitter.com/wylieesofia/status/1724858743920144571,Nov-16,13,,,715,"that’s some real bestie energy, laughing at each others jokes even tho they might not be that funny"
@wylieesofia,https://twitter.com/wylieesofia/status/1724857333522555385,Nov-16,7,,,363,so how reliable is this?
@SSIAHR1NA,https://twitter.com/SSIAHR1NA/status/1724853448129007892,Nov-15,21,62,62,5.3K,"hey everyone!!! its isha here, my old account got suspended"
@wylieesofia,https://twitter.com/wylieesofia/status/1724868901354311802,Nov-16,7,91,,884,JOSH AND ADRIAN MY BOYSS
@wylieesofia,https://twitter.com/wylieesofia/status/1724868086040232230,Nov-16,20,,,342,if i don’t get them to work on another project together i will do something drastic
@wylieesofia,https://twitter.com/wylieesofia/status/1724856870630793281,Nov-15,1,,,171,EVERYONE GO FOLLOW ISHA’S NEW ACCOUNT!!
@wylieesofia,https://twitter.com/wylieesofia/status/1724868086040232230,Nov-16,20,,,342,if i don’t get them to work on another project together i will do something drastic
@wylieesofia,https://twitter.com/wylieesofia/status/1724856610642632981,Nov-15,11,,,181,she’s so unserious
@wylieesofia,https://twitter.com/wylieesofia/status/1724835406401646749,Nov-15,17,,,255,SOFIAS LAUGH PLS I LOVE HER
@wylieesofia,https://twitter.com/wylieesofia/status/1724835099332546593,Nov-15,2,I love you all so much",Show more,280,I KNEW WE COULD COUNT ON SOFIA!!
@wylieesofia,https://twitter.com/wylieesofia/status/1724856610642632981,Nov-15,11,,,181,she’s so unserious
@wylieesofia,https://twitter.com/wylieesofia/status/1724835099332546593,Nov-15,2,I love you all so much",Show more,280,I KNEW WE COULD COUNT ON SOFIA!!
@wylieesofia,https://twitter.com/wylieesofia/status/1724834553838076055,Nov-15,12,133,0:33,2.9K,WE GOT IT FINALLY
@wylieesofia,https://twitter.com/wylieesofia/status/1724833896448090310,Nov-15,5,,,183,MY BESTIES I LOVE THEM SO MUCH
@wylieesofia,https://twitter.com/wylieesofia/status/1724835099332546593,Nov-15,2,I love you all so much",Show more,280,I KNEW WE COULD COUNT ON SOFIA!!
@wylieesofia,https://twitter.com/wylieesofia/status/1724834553838076055,Nov-15,12,133,0:33,2.9K,WE GOT IT FINALLY
@wylieesofia,https://twitter.com/wylieesofia/status/1724828699936149666,Nov-15,3,9,,657,i miss isha :(
@wylieesofia,https://twitter.com/wylieesofia/status/1724817561215221911,Nov-15,4,,,208,MY FAMILY FOREVER
@wylieesofia,https://twitter.com/wylieesofia/status/1724809299111674002,Nov-15,9,,,243,THE UNIVERSE MUST HAVE MY BACK
@wylieesofia,https://twitter.com/wylieesofia/status/1724834553838076055,Nov-15,12,133,0:33,2.9K,WE GOT IT FINALLY
@wylieesofia,https://twitter.com/wylieesofia/status/1724828699936149666,Nov-15,3,9,,657,i miss isha :(
@wylieesofia,https://twitter.com/wylieesofia/status/1724809099643154765,Nov-15,4,,,129,MY GIRLSS
@wylieesofia,https://twitter.com/wylieesofia/status/1724809053665103872,Nov-15,10,,,179,
@wylieesofia,https://twitter.com/wylieesofia/status/1724809005690732704,Nov-15,2,28,,394,DARA AND MONIQUE AH I LOVE TMEM
@wylieesofia,https://twitter.com/wylieesofia/status/1724808792788107516,Nov-15,15,,,192,FAMILYY
@lycgami,https://twitter.com/lycgami/status/1724584597810229459,Nov-15,5,180,856,14K,no one could’ve brought ricky bowen and gina porter to life the way these two did.
@wylieesofia,https://twitter.com/wylieesofia/status/1724788477211095163,Nov-15,1,1,2,169,HAPPY BIRTHDAY LOVELY
@wylieesofia,https://twitter.com/wylieesofia/status/1724787117371613498,Nov-15,,,,290,"summer child 
astronomy 
r? 
affluenza"
@wylieesofia,https://twitter.com/wylieesofia/status/1724762770808127681,Nov-15,9,,,197,you can’t watch this pic without smiling you just can’t
@wylieesofia,https://twitter.com/wylieesofia/status/1724761334674256041,Nov-15,10,118,,1K,the golden trio
@wylieesofia,https://twitter.com/wylieesofia/status/1724787117371613498,Nov-15,,,,290,"summer child 
astronomy 
r? 
affluenza"
@wylieesofia,https://twitter.com/wylieesofia/status/1724750037534581220,Nov-15,15,,,217,MY PEOPLE
@wylieesofia,https://twitter.com/wylieesofia/status/1724749310112256439,Nov-15,1,1,35,492,"i can’t decide which is cuter, sofia or the puppy"
@wylieesofia,https://twitter.com/wylieesofia/status/1724750037534581220,Nov-15,15,,,217,MY PEOPLE
@wylieesofia,https://twitter.com/wylieesofia/status/1724748583767789777,Nov-15,9,71,,965,"no one could’ve played gina porter the way sofia wylie did. she was perfect for this role and it was truly incredible to see her grow as an actress but also as a human being in the past 4 years. thank u sofia, i love u always and i will keep gina in my heart forever."
@wylieesofia,https://twitter.com/wylieesofia/status/1724743969043595496,Nov-15,19,,,302,"“truly be accepted for the first time during these past 4 years” SOFIA MY BABY IM GONNA CRY SHE DESERVED THIS ROLE MORE THAN ANYONE ELSE, I LOVE HER SO SO MUCH"
@wylieesofia,https://twitter.com/wylieesofia/status/1724742540228719000,Nov-15,3,,,186,they ate
@wylieesofia,https://twitter.com/wylieesofia/status/1724742540228719000,Nov-15,3,,,186,they ate
@wylieesofia,https://twitter.com/wylieesofia/status/1724742382556434861,Nov-15,2,39,,496,sofia’s smile is the brightest smile i have ever seen
@wylieesofia,https://twitter.com/wylieesofia/status/1724741954657816745,Nov-15,3,,,170,MY HEART
@wylieesofia,https://twitter.com/wylieesofia/status/1724741067352707559,Nov-15,2,,Show more,264,my top 5 on guts
@wylieesofia,https://twitter.com/wylieesofia/status/1724739270760411545,Nov-15,55,358,,3.8K,"“having somebody that i felt like was in my corner throughout the season, who i could call when i got home and was living alone, or who i could call when i was on set and having a rough time. josh was definitely one of those people for me.”"
@wylieesofia,https://twitter.com/wylieesofia/status/1724732999504109754,Nov-15,2,41,,871,"joshua bassett and sofia wylie, i will love you forever"
@wylieesofia,https://twitter.com/wylieesofia/status/1724719080379158797,Nov-15,11,,,190,sofia’s mirror selfies on set are my favorite thing
@wylieesofia,https://twitter.com/wylieesofia/status/1724695940475351316,Nov-15,9,81,,905,there’s just something about josh & sofia with puppies
·,https://twitter.com/wylieesofia/status/1652274557087014912,Apr-29,,,,,
,,,,,,,
·,https://twitter.com/wylieesofia/status/1724049777350816174,Nov-13,,,,,
@wylieesofia,https://twitter.com/wylieesofia/status/1724694475992093176,Nov-15,,,,77,yes i changed it again
@wylieesofia,https://twitter.com/wylieesofia/status/1724691965093011751,Nov-15,5,,,131,it needed to be done
@wylieesofia,https://twitter.com/wylieesofia/status/1724678755522662748,Nov-15,7,47,,435,i love them so much i’m gonna cry :((
@wylieesofia,https://twitter.com/wylieesofia/status/1724678618310230142,Nov-15,2,27,,268,HER FACE CARD
@wylieesofia,https://twitter.com/wylieesofia/status/1724677707240239598,Nov-15,10,,,177,STOP IM GONNA CRY
@wylieesofia,https://twitter.com/wylieesofia/status/1724677581662822793,Nov-15,5,40,,434,she’s so stunning i’m in love
@wylieesofia,https://twitter.com/wylieesofia/status/1724677482169696752,Nov-15,2,32,,423,GOODMORNING TO ME
@wylieesofia,https://twitter.com/wylieesofia/status/1724547715072217501,Nov-15,1,17,,283,goodnight <3
@wylieesofia,https://twitter.com/wylieesofia/status/1724547041345343612,Nov-15,1,67,,838,THAT SMIRK IS HE TRYING TO KILL ME
@wylieesofia,https://twitter.com/wylieesofia/status/1724546917202268607,Nov-15,20,,,400,my goofy family
@wylieesofia,https://twitter.com/wylieesofia/status/1724546690839900218,Nov-15,1,1,53,516,JOSH MY CUTIE
@wylieesofia,https://twitter.com/wylieesofia/status/1724544943081828719,Nov-15,1,16,,634,wdym one year i’m gonna cry
@wylieesofia,https://twitter.com/wylieesofia/status/1724528007556018472,Nov-15,1,16,185,2.2K,he heart eyes are insane like she really loves that boy
@qu4rrys,https://twitter.com/qu4rrys/status/1724454307632685064,Nov-14,1,35,152,2.7K,we always talk about rickys heart eyes for gina but can we talk about ginas heart eyes for ricky… like she’s insane
@wylieesofia,https://twitter.com/wylieesofia/status/1724527096402153971,Nov-15,1,30,,380,JOSH BABY
@wylieesofia,https://twitter.com/wylieesofia/status/1724526709657972900,Nov-15,8,,,185,CUTIES
@wylieesofia,https://twitter.com/wylieesofia/status/1724526665395527980,Nov-15,10,,,211,MY PEOPLE
@wylieesofia,https://twitter.com/wylieesofia/status/1724526573456380053,Nov-15,3,77,,684,STOP ILL CRY
@wylieesofia,https://twitter.com/wylieesofia/status/1724526512940920979,Nov-15,1,23,,262,FAMILYY
@wylieesofia,https://twitter.com/wylieesofia/status/1724446579757613243,Nov-14,18,103,,1.3K,they’re so cute i’m gonna cry
@wylieesofia,https://twitter.com/wylieesofia/status/1724437363252711773,Nov-14,16,158,,1.6K,cozi is so real for this
@wylieesofia,https://twitter.com/wylieesofia/status/1724435118314459205,Nov-14,1,1,57,1.5K,only real ones get this scene
@wylieesofia,https://twitter.com/wylieesofia/status/1724431088926261561,Nov-14,8,,,375,my people
@wylieesofia,https://twitter.com/wylieesofia/status/1724446579757613243,Nov-14,18,103,,1.3K,they’re so cute i’m gonna cry
@darawyliv,https://twitter.com/darawyliv/status/1724252708444467605,Nov-14,3,16,91,2.8K,the can’t catch me now music video is like very distant cousins with the all i want mv
@wylieesofia,https://twitter.com/wylieesofia/status/1724401893512765601,Nov-14,1,3,,224,MY FAVORITE BESTIES
@oliviarodrigo,https://twitter.com/oliviarodrigo/status/1724277287045259607,Nov-14,545,5.6K,35K,893K,the video for ‘Can’t Catch Me Now’ is out now!!!
@wylieesofia,https://twitter.com/wylieesofia/status/1724378228440060126,Nov-14,13,,,331,"ladies, gentlemen and non-binary babes, HER"
@wylieesofia,https://twitter.com/wylieesofia/status/1724330685505085512,Nov-14,15,,,301,goodmorning <3
@wylieesofia,https://twitter.com/wylieesofia/status/1724330424342646978,Nov-14,12,,,381,he looks so cute
@oliviarodrigo,https://twitter.com/oliviarodrigo/status/1724277287045259607,Nov-14,545,5.6K,35K,893K,the video for ‘Can’t Catch Me Now’ is out now!!!
@wylieesofia,https://twitter.com/wylieesofia/status/1724206168220844194,Nov-14,3,4,96,1.2K,goodnight <3
@wylieesofia,https://twitter.com/wylieesofia/status/1724204371179721196,Nov-14,19,210,,2.5K,saying josh has inherent golden retriever energy is so real
@wylieesofia,https://twitter.com/wylieesofia/status/1724202753847636148,Nov-14,1,27,,419,SOFIAA MY QUEEN
@wylieesofia,https://twitter.com/wylieesofia/status/1724330424342646978,Nov-14,12,,,381,he looks so cute
@wylieesofia,https://twitter.com/wylieesofia/status/1724202753847636148,Nov-14,1,27,,419,SOFIAA MY QUEEN
@wylieesofia,https://twitter.com/wylieesofia/status/1724201189087055875,Nov-14,3,,,354,i can’t even remember when was the last time that we were all active at the same time. this is going to the history books.
@wylieesofia,https://twitter.com/wylieesofia/status/1724197436787249514,Nov-14,2,2,,385,"which oomf am i to you ? 
(stolen from tay)"
@wylieesofia,https://twitter.com/wylieesofia/status/1724197032791851109,Nov-14,1,5,GIF,699,name a movie you’ve seen more than 7 times with a gif
·,https://twitter.com/wylieesofia/status/1724195833048940546,Nov-14,,,,,
·,https://twitter.com/wylieesofia/status/1724195836404392203,Nov-14,,,,,
@wylieesofia,https://twitter.com/wylieesofia/status/1724202753847636148,Nov-14,1,27,,419,SOFIAA MY QUEEN
@wylieesofia,https://twitter.com/wylieesofia/status/1724197032791851109,Nov-14,1,5,GIF,699,name a movie you’ve seen more than 7 times with a gif
@wylieesofia,https://twitter.com/wylieesofia/status/1724196240231993358,Nov-14,3,,,163,"ppl like this are not her fans cause if you’re really her fan, you would respect her privacy. super weird behavior. like so what that her bf just happens to go to the same school as you? you don’t have to post a fucking tiktok about it. RESPECT OTHER PPLS PRIVACY."
@wylieesofia,https://twitter.com/wylieesofia/status/1724188676916117863,Nov-14,6,,,297,the real endgame
@wylieesofia,https://twitter.com/wylieesofia/status/1724188381511348538,Nov-14,4,4,,2.5K,quote this with your first 6 songs on repeat
@wylieesofia,https://twitter.com/wylieesofia/status/1724144862591693163,Nov-14,1,79,,791,CUTIES
@wylieesofia,https://twitter.com/wylieesofia/status/1724188676916117863,Nov-14,6,,,297,the real endgame
@wylieesofia,https://twitter.com/wylieesofia/status/1724090451500703814,Nov-13,2,60,,728,i love them so much
@wylieesofia,https://twitter.com/wylieesofia/status/1724089812603330809,Nov-13,3,12,37,6.7K,show us your lockscreen or 7 years of bad luck
@wylieesofia,https://twitter.com/wylieesofia/status/1724188676916117863,Nov-14,6,,,297,the real endgame
@wylieesofia,https://twitter.com/wylieesofia/status/1724089565068071348,Nov-13,3,93,,934,STOP MY HEART CAN’T TAKE THIS RIGHT NOW
@wylieesofia,https://twitter.com/wylieesofia/status/1724072165723472272,Nov-13,31,,,355,it can’t be saysojover i won’t allow it
@wylieesofia,https://twitter.com/wylieesofia/status/1724064438515351604,Nov-13,1,1,1,894,so slay
@wylieesofia,https://twitter.com/wylieesofia/status/1724055585069449266,Nov-13,2,2,46,1.5K,this is so fucked up like she keeps that relationship private FOR A REASON so why can’t some ppl respect that and treat her like a human being and leave her alone. just because she’s a celebrity doesn’t mean that u get to treat her however the hell u want.
@wylieesofia,https://twitter.com/wylieesofia/status/1724051984540455235,Nov-13,1,32,,470,NO HAT WE WON
@wylieesofia,https://twitter.com/wylieesofia/status/1717905995056238636,Oct-27,1,1,@wylieesofia,162,new layout
@wylieesofia,https://twitter.com/wylieesofia/status/1724048121812885861,Nov-13,1,4,69,857,i don’t think i’ll ever move on from this
@wylieesofia,https://twitter.com/wylieesofia/status/1724051984540455235,Nov-13,1,32,,470,NO HAT WE WON
@wylieesofia,https://twitter.com/wylieesofia/status/1724030256799945042,Nov-13,21,229,,2.2K,“she’s like a little sister to me”
@wylieesofia,https://twitter.com/wylieesofia/status/1723973703241711906,Nov-13,11,,,249,he’s so
@wylieesofia,https://twitter.com/wylieesofia/status/1724051984540455235,Nov-13,1,32,,470,NO HAT WE WON
@wylieesofia,https://twitter.com/wylieesofia/status/1723973158422905125,Nov-13,3,31,,478,HELLOO!?!?
@wylieesofia,https://twitter.com/wylieesofia/status/1723972854234988556,Nov-13,2,,,154,GOODMORNING TO ME
