css-4rbku5 href 2,UserId,Tweet_Url,Date-time,Tweets,css-4rbku5 href 6,Comments,Retweets,Likes,Impressions,css-4rbku5 3
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1670797536456482818,Jun 19,"On Juneteenth, we commemorate the anniversary of the delayed but welcome news of freedom reaching the enslaved Black folks in Galveston, Texas. It’s a reminder that even in the darkest hours, there is cause to hope — and a reason to keep building a country that lives up to its…",,12K,19K,128K,15M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1670462246407864320,Jun 18,"Happy Father’s Day to all those fortunate enough to take on the role of being a dad or father-figure. To Malia and Sasha, being your dad will always be the greatest gift of my life.",https://twitter.com/BarackObama/status/1670462246407864320/photo/1,19K,34K,593K,39M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1670448392240070658,Jun 18,"To Joseph and all of the dads working to make a difference in the lives of our young people, I hope you have a great Father’s Day. It’ll take all of us doing our part to build the brightest future possible for our kids.",https://twitter.com/MBK_Alliance/status/1670447456197197825/photo/1,2K,3.8K,27K,6M,
,,,,,,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1669393162916200467,Jun 15,"DACA recipients are teachers, service members, business owners, doctors, and parents. They are our friends and neighbors. We are a better nation—a stronger nation—because they’re here.

As we mark the 11th anniversary of DACA, let’s continue to organize and push Congress to build…",,10K,7.4K,44K,7.6M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1668461080689950720,Jun 13,Congrats to the Denver,,2.9K,11K,134K,11M,@Nuggets
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1667563249678548992,Jun 10,"Where does the time go? Happy birthday, Sasha! It’s been the greatest gift to watch you become such a confident, intelligent, and beautiful young woman. Can’t wait to see what this year ahead brings you.",https://twitter.com/BarackObama/status/1667563249678548992/photo/1,15K,20K,387K,24M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1666887500084965376,Jun 9,"In an important victory for Black Alabamians and voters of color across the country, the Supreme Court has upheld Section 2 of the Voting Rights Act.",https://twitter.com/BarackObama/status/1666887500084965376/analytics,,,,,
,,,,,,,,,,
,,,,,,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1664656189165109250,Jun 2,"On National Gun Violence Awareness Day, let’s honor the victims of gun violence – and do what we can to prevent even more tragedies.

Keep using your voice to call for change, keep voting, keep urging Congress to take action. And support the work of organizations like",,8.3K,5.6K,27K,3.5M,@Everytown
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1663994370134278144,Jun 1,"I had fun answering some questions about my work journey. Check it out, and then make sure to watch Working: What We Do All Day on Netflix.",,3.7K,4.1K,30K,4.3M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1661153116882870272,May 24,"Michelle and I were saddened to learn about the passing of Bob Zimmer, the 13th President of the University of Chicago. 

Bob was a visionary leader and one the most influential university presidents in the country. During his time at the University of Chicago, he built upon its…",https://twitter.com/BarackObama/status/1661153116882870272/analytics,read image description,ALT,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1661153121152712704,May 24,"Bob was also a fierce advocate for the Obama Presidential Center, believing that it would be transformative for young folks on the South Side. His commitment helped inspire us to build the Center there.

We’re deeply grateful for Bob’s remarkable service to a university and a…",,308,523,5.3K,1.2M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1659666639351078912,May 20,"I was too young to remember Jim Brown’s playing days, but I knew his legacy. One of the greatest football players ever, he was also an actor and activist – speaking out on civil rights, and pushing other Black athletes to do the same. Our thoughts are with Jim’s wife Monique, his…",,4.4K,4.1K,39K,6.9M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1659582955776274433,May 19,"In Working: What We Do All Day, I sat down with Luke to hear about his work, listen to some of his tracks, and discuss the life he wants for himself. You can watch this conversation and more in this new series now on Netflix.",,1.1K,1.5K,9.7K,2.2M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1658876146199429123,May 17,"As a college student, I was inspired by Studs Terkel’s book, Working, which chronicled what ordinary people did for a living.

Working: What We Do All Day from",https://twitter.com/BarackObama/status/1658876146199429123/analytics,"is a new series that builds on that idea – sharing the stories of people from different walks of life, and…",,,,@HGMedia
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1658876457056075788,May 17,"I enjoyed meeting these folks and hearing their stories about work. Take a look at this preview, and watch Working: What We Do All Day now on Netflix.",,677,1.3K,8.9K,1.3M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1658615949241597953,May 17,I'm thrilled to share that our latest show from,,3.5K,5.2K,38K,4.5M,@HGMedia
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1658552142670577666,May 17,It was great talking to,,1.8K,2.1K,13K,2.3M,@NateBurleson
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1657732958436859906,May 14,"Happy Mother’s Day! I hope you take a moment to appreciate all the moms and mother-figures in your life – and be there for people who may be missing theirs.

To",https://twitter.com/BarackObama/status/1657732958436859906/photo/1,16K,26K,367K,26M,@MichelleObama
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1657166419555909632,May 13,"I always love being in Chicago and having the opportunity to meet with folks on the South Side who are helping transform their communities. 

I had a lot of fun, too. Take a look.",,7.4K,5.5K,37K,5.3M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1653531519732838402,May 3,I'm so inspired by the,https://twitter.com/BarackObama/status/1653531519732838402/photo/1,1.3K,1.9K,15K,2M,@ObamaFoundation
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1651587088226172929,Apr 27,"I’m excited to share the trailer for Working. In this series, I talk to American workers across various industries – from hospitality and technology to home care – to understand their jobs and hopes for the future. I hope you’ll check it out on",,3.9K,5.5K,27K,3.5M,@Netflix
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1650947467129626625,Apr 26,"Harry Belafonte was a barrier-breaking legend who used his platform to lift others up. He lived a good life – transforming the arts while also standing up for civil rights. And he did it all with his signature smile and style. Michelle and I send our love to his wife, kids, and…",https://twitter.com/BarackObama/status/1650947467129626625/photo/1,2.9K,12K,103K,8.4M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1650862300289720326,Apr 25,Proud of all that,,21K,8.9K,40K,8.7M,@JoeBiden
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1649914848984039433,Apr 23,Chicago knows how to show up! Thanks to all the volunteers who helped the,,2K,3.3K,28K,4.1M,@ObamaFoundation
,,,,,,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1646570402708160525,Apr 13,Everybody deserves access to health care.,,10K,5.6K,31K,6.9M,@POTUS
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1645902336127295488,Apr 12,There's no place like Chicago! Michelle and I are thrilled to have the Democratic National Convention return to our hometown next year.,https://twitter.com/BarackObama/status/1645902336127295488/photo/1,7.3K,8.4K,143K,9.6M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1645064164296085504,Apr 9,"I want to wish all who celebrate a happy and blessed Easter. With everything going on in the world right now, it’s a chance to hug our loved ones tight and give thanks for new beginnings and the blessings we all enjoy.",,6.6K,9.6K,100K,10M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1644163253868609538,Apr 7,This nation was built on peaceful protest. No elected official should lose their job simply for raising their voice – especially when they’re doing it on behalf of our children.,https://twitter.com/BarackObama/status/1644163253868609538/analytics,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1644163255189774337,Apr 7,"What happened in Tennessee is the latest example of a broader erosion of civility and democratic norms. Silencing those who disagree with us is a sign of weakness, not strength, and it won’t lead to progress.",,11K,26K,130K,10M,
,,,,,,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1643330105874186247,Apr 5,Today would have been,https://twitter.com/BarackObama/status/1643330105874186247/photo/1,1.8K,7.7K,70K,4.6M,@DrMayaAngelou
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1643283120232202241,Apr 4,"Wisconsin! It’s Election Day, and we need you to vote for your state Supreme Court justice and other local leaders. You can vote in person or drop off your completed absentee ballot at your polling place until 8 pm. Find out where to go at",,1.9K,3.8K,15K,2.7M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1643271109071065090,Apr 4,Congrats to,,409,918,8.7K,3.4M,@UConnMBB
