userId_url,profile_photo,username,attached_media,UserId,Tweet_Url,date-time,Tweets,css-4rbku5 href 5,css-9pa8cd src 3,Comments,Retweets,Likes,Impressions
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720062002897223897,14h,Tsingtao: Beer worker urinated into tank after argument,https://t.co/5JWqhv9doQ,https://pbs.twimg.com/card_img/1720061883053445120/DKpuHthJ?format=jpg&name=small,93,104,164,325K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720057646777081899,15h,Actress Emily Hampshire apologises for Depp and Heard costume,https://t.co/ujfCbLE6rI,https://pbs.twimg.com/card_img/1720033482355687424/Gyl11eNs?format=jpg&name=small,86,13,104,282K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720050474705985756,15h,Swiss village of Aarwangen in ding-dong over challenge to cowbells,https://t.co/YmXkdOX1Nr,https://pbs.twimg.com/card_img/1720043580717199360/V1VT7p5f?format=jpg&name=small,68,28,110,138K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720045350155677806,15h,Galloway and Southern Ayrshire on National Geographic 'cool list',https://t.co/NYtgVIQn7x,https://pbs.twimg.com/card_img/1720039782300975104/NYpDyLoE?format=jpg&name=small,62,32,155,127K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720028983650046163,17h,Boko Haram kills 37 in Nigeria's Yobe state - police,https://t.co/9IJ6265dzH,https://pbs.twimg.com/card_img/1720028669417009152/Wa02KeRf?format=jpg&name=small,224,190,283,249K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720023329518547450,17h,Shubhneet Singh: Punjabi rapper faces heat over concert hoodie,https://t.co/PkJWmjP0Jp,https://pbs.twimg.com/card_img/1720023329522823168/JhR__J5p?format=jpg&name=small,66,23,91,148K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1720020872256245923,17h,Storm Ciarán: Port of Dover closed as wind and rain batter Kent,https://t.co/WhxWZbhyUi,https://pbs.twimg.com/card_img/1720020499021889536/75N1uumB?format=jpg&name=small,69,30,154,150K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1719984881940259095,19h,Li Keqiang: Chinese leader's hometown mourns his death,https://t.co/hxsIQF4dSQ,https://pbs.twimg.com/card_img/1719984883680849920/o4UZWiwC?format=jpg&name=small,61,20,113,130K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1719972419232756145,20h,Stephen Hawking daughter tells school pupils to 'make world better',https://t.co/GxrLnnlcR4,https://pbs.twimg.com/card_img/1719967823923965952/_nZQTyh7?format=jpg&name=small,90,51,278,167K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1719960522471231886,21h,'Rare' Imperial vase gifted to Lincolnshire officer to be auctioned,https://t.co/1Z2iBvVju8,https://pbs.twimg.com/card_img/1719960142135857152/YlYefaG9?format=jpg&name=small,63,21,121,149K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1719941251368149426,22h,Cornell student in court over antisemitic threats,https://t.co/yJNrlGe8Df,https://pbs.twimg.com/card_img/1719941254031527936/r-VFxM5u?format=jpg&name=small,232,116,550,479K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1719931860388561309,23h,Delhi leader to be questioned in corruption case,https://t.co/Ect5trrP4F,https://pbs.twimg.com/card_img/1719915912948518912/ts7CqrEb?format=jpg&name=small,48,21,81,157K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1719928079466844460,23h,"Chuckles, smiles and mispronunciation - Inside Donald Trump Jr's courtroom debut",https://t.co/e3u6u7jKN2,https://pbs.twimg.com/card_img/1719876224187502592/MLLA9DCk?format=jpg&name=small,74,38,146,238K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1719923133598032190,Nov 2,Indonesia cough syrup maker boss jailed after child deaths,https://t.co/lYTxJxA3yg,https://pbs.twimg.com/card_img/1719923134789230592/0O4nSJyn?format=jpg&name=small,45,90,215,188K
https://twitter.com/BBCWorld,https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg,BBC News (World),https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_bigger.jpg,@BBCWorld,https://twitter.com/BBCWorld/status/1719920524887736488,Nov 2,Beatles fans await release of their 'final song',https://t.co/hxyHfR4cp1,https://pbs.twimg.com/card_img/1719287758076706816/tZ8Vc-16?format=jpg&name=small,50,76,306,188K
